Features,Replacement Strategy,Time
3,Conditional,0.007229
3,Copula,0.01010825
3,Gaussian,0.0067366249999999996
3,Marginal,0.007434624999999999
3,Mean,0.174511476725
3,Separate models,2128.850672385
3,Zero,0.1652047010375
4,Conditional,0.0062415
4,Copula,0.010820166666666665
4,Gaussian,0.007362666666666667
4,Marginal,0.006339666666666667
4,Mean,0.21681408484166667
4,Separate models,3192.01921083416666
4,Zero,0.20432525050833336
5,Conditional,0.011599333333333335
5,Copula,0.0114205
5,Gaussian,0.008042
5,Marginal,0.007819
5,Mean,0.2694382332333333
5,Separate models,14309.046728000001
5,Zero,0.26205655926666666
6,Conditional,0.008641666666666667
6,Copula,0.014962833333333333
6,Gaussian,0.008833666666666667
6,Marginal,0.008262166666666666
6,Mean,0.3273545794833333
6,Separate models,3197.4602276666665
6,Zero,0.3183456847
7,Conditional,0.0083806
7,Copula,0.011354733333333334
7,Gaussian,0.009025466666666667
7,Marginal,0.008708266666666666
7,Mean,0.34470634095333336
7,Separate models,2456.859885233333
7,Zero,0.33163281562
8,Conditional,0.014198454545454547
8,Copula,0.018103454545454548
8,Gaussian,0.016465545454545455
8,Marginal,0.015051090909090908
8,Mean,0.3956081476
8,Separate models,15607.424864636363
8,Zero,0.3904059292
9,Conditional,0.018389125
9,Copula,0.06945
9,Gaussian,0.142701625
9,Marginal,0.019567624999999998
9,Mean,0.455366839125
9,Separate models,19719.6853835
9,Zero,0.43442469691249996
10,Conditional,0.02663842857142857
10,Copula,0.03775585714285714
10,Gaussian,0.082554
10,Marginal,0.027583857142857143
10,Mean,0.4917662090714286
10,Separate models,34390.606579
10,Zero,0.45174395444285714
11,Conditional,0.047279249999999995
11,Copula,0.096195375
11,Gaussian,0.08059862500000001
11,Marginal,0.0540775
11,Mean,0.5402205595
11,Separate models,54925.32761
11,Zero,0.5073591099875
12,Conditional,0.09338033333333334
12,Copula,0.15860755555555556
12,Gaussian,0.15133144444444444
12,Marginal,0.09592477777777778
12,Mean,0.56498350491
12,Separate models,102936.72054899999
12,Zero,0.55640821759
13,Conditional,0.1356315
13,Copula,41.30479165
13,Gaussian,0.43596657995000004
13,Marginal,0.1768455
13,Mean,0.592069398
13,Separate models,103893.6235
13,Zero,0.5229735004
